ma_don_hang,san_pham,khu_vuc,so_luong,don_gia,ghi_chu
T3-001,Túi xách,Đà Nẵng,9,320000,
T3-002,Quần jeans,Đà Nẵng,5,150000,
T3-003,Giày sneaker,Hà Nội,6,180000,
T3-004,Áo thun,Cần Thơ,4,150000,
T3-005,Quần jeans,Hà Nội,7,320000,
T3-006,Quần jeans,Cần Thơ,9,250000,
T3-007,Mũ lưỡi trai,Đà Nẵng,7,450000,
T3-008,Túi xách,Đà Nẵng,1,320000,
T3-009,Giày sneaker,Đà Nẵng,1,150000,
T3-010,Áo thun,TP.HCM,9,450000,
T3-011,Mũ lưỡi trai,Cần Thơ,9,150000,
T3-012,Túi xách,TP.HCM,4,150000,
T3-013,Mũ lưỡi trai,TP.HCM,9,250000,
T3-014,Túi xách,Hà Nội,3,450000,
T3-015,Túi xách,TP.HCM,7,450000,
