ma_don_hang,san_pham,khu_vuc,so_luong,don_gia,ghi_chu
T2-001,Quần jeans,Đà Nẵng,7,450000,
T2-002,Quần jeans,Hà Nội,9,150000,
T2-003,Mũ lưỡi trai,Cần Thơ,8,450000,
T2-004,Túi xách,TP.HCM,1,250000,
T2-005,Quần jeans,Hà Nội,8,150000,
T2-006,Quần jeans,Cần Thơ,8,180000,
T2-007,Mũ lưỡi trai,Cần Thơ,3,320000,
T2-008,Quần jeans,Cần Thơ,1,450000,
T2-009,Quần jeans,Hà Nội,8,320000,
T2-010,Mũ lưỡi trai,Hà Nội,3,320000,
T2-011,Mũ lưỡi trai,Hà Nội,3,150000,
T2-012,Áo thun,Đà Nẵng,1,320000,
T2-013,Túi xách,Hà Nội,5,180000,
T2-014,Túi xách,Hà Nội,7,320000,
T2-015,Quần jeans,Hà Nội,9,150000,
